"Periode","Jumlah Penumpang (Ribu)"
"06-01",8681
"06-02",8144
"06-03",8920
"06-04",8462
"06-05",8899
"06-06",8606
"06-07",8787
"06-08",8661
"06-09",8829
"06-10",8767
"06-11",8895
"06-12",8774
"07-01",8723
"07-02",7566
"07-03",9009
"07-04",10206
"07-05",10608
"07-06",10310
"07-07",10761
"07-08",10653
"07-09",10446
"07-10",9887
"07-11",10031
"07-12",9895
"08-01",9868
"08-02",9673
"08-03",10469
"08-04",10562
"08-05",10582
"08-06",10824
"08-07",11206
"08-08",11129
"08-09",10481
"08-10",10379
"08-11",10583
"08-12",9695
"09-01",10686
"09-02",9984
"09-03",11185
"09-04",10908
"09-05",11448
"09-06",11384
"09-07",11348
"09-08",10905
"09-09",10243
"09-10",11087
"09-11",10592
"09-12",10738
"10-01",10541
"10-02",9641
"10-03",10759
"10-04",10394
"10-05",10476
"10-06",10312
"10-07",10466
"10-08",10438
"10-09",9685
"10-10",10796
"10-11",10106
"10-12",10694
"11-01",10354
"11-02",9270
"11-03",10733
"11-04",10188
"11-05",10513
"11-06",10147
"11-07",10749
"11-08",9678
"11-09",9692
"11-10",10152
"11-11",9852
"11-12",9777
"12-01",9779
"12-02",9840
"12-03",11285
"12-04",11271
"12-05",11872
"12-06",12034
"12-07",12391
"12-08",11471
"12-09",11556
"12-10",11501
"12-11",10650
"12-12",10438
"13-01",10089
"13-02",10281
"13-03",11240
"13-04",11529
"13-05",11767
"13-06",11817
"13-07",15407
"13-08",14321
"13-09",15113
"13-10",15531
"13-11",15487
"13-12",15901
"14-01",15176
"14-02",14856
"14-03",17471
"14-04",16671
"14-05",16781
"14-06",17848
"14-07",16585
"14-08",17091
"14-09",18253
"14-10",19079
"14-11",18605
"14-12",20080
"15-01",19244
"15-02",17640
"15-03",21290
"15-04",21171
"15-05",22177
"15-06",22207
"15-07",21171
"15-08",22295
"15-09",22021
"15-10",22964
"15-11",22355
"15-12",22996
"16-01",22238
"16-02",21229
"16-03",23206
"16-04",23149
"16-05",24401
"16-06",23821
"16-07",21574
"16-08",23923
"16-09",23570
"16-10",24533
"16-11",24104
"16-12",24841
"17-01",24185
"17-02",21743
"17-03",25775
"17-04",25411
"17-05",27385
"17-06",24432
"17-07",27016
"17-08",27679
"17-09",26158
"17-10",28765
"17-11",28246
"17-12",29059
"18-01",28075
"18-02",25362
"18-03",29223
"18-04",28942
"18-05",28995
"18-06",24833
"18-07",29086
"18-08",28098
"18-09",27618
"18-10",29317
"18-11",28049
"18-12",29201
